,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5
BET_SectorReturn_TSR_252D,0.0025064775939201782,0.00020938610136112768,0.0,0.00028342727308709904,0.0026338318145346395,0.0005396309183266698
BET_SectorRel_TSZ_20D,0.00015317653990109064,0.0,0.0,1.9135362309012594e-05,0.00015424726758222975,0.0
BET_SectorRel_TSR_252D,0.0004596405541405039,0.0,0.0,0.0,0.0003161717482248726,0.0
BET_RelSectorReturn5d_TSZ_20D,1.1946447310131486e-05,0.0,0.0,0.0,0.0,0.0
BET_SectorRelStrength60_TSZ_20D,0.0005489147866355687,0.0,2.9086122205670014e-05,1.4522541632446317e-05,0.00018557467483902023,0.0
BET_SectorRelStrength60_TSR_252D,0.0021144901057870533,0.00020366046491116795,0.0,0.00023317149520077704,0.0012111874737846583,0.0
CON_RevisionRate_TSZ_20D,0.0,0.0,0.0,0.0,1.1297509750461389e-05,0.0
CON_RevisionRate_TSR_252D,2.0632481762018338e-05,0.0,0.0,0.0,0.0,0.0
CON_ProgressRate_TSZ_20D,0.0003543594896665867,1.2012304299637528e-05,0.0,0.0,0.00016786173120292118,0.0
CON_ProgressRate_TSR_252D,0.00020204253655743747,3.085340686699768e-05,0.0,0.0,0.0003247183592374118,0.0
MOM_ADX14_SNZ,7.183398899446075e-05,0.0,0.0,0.0,2.0229684134241536e-05,0.0
MOM_DistSMA5_CSZ,4.270795180733287e-05,6.458818513130882e-06,0.0,0.0,3.7757783251035906e-05,0.0
MOM_DistSMA5_SNZ,0.0,0.0,0.0,0.0,0.0,0.0
MOM_DistSMA5-25_CSZ,1.3336452731058432e-05,0.0,0.0,0.0,1.7681354768021935e-05,0.0
MOM_DistSMA5-25_SNZ,0.0,0.0,0.0,0.0,8.677842855066711e-06,0.0
MOM_DistSMA25-75_CSZ,0.0002490316135457915,6.809216780105374e-06,0.0,0.0,1.9435040286212655e-05,5.969587635265991e-05
MOM_DistSMA25-75_SNZ,0.0002561843947435804,7.525081835937137e-06,0.0,1.9075410648250264e-05,5.694822868490175e-05,0.0
MOM_EfficiencyRatio10_SNZ,3.69188373652852e-05,0.0,0.0,0.0,0.0,0.0
MOM_LinRegSlope10_CSR,0.0001454251755392331,0.0,0.0,2.2180189077397115e-05,3.786663396933403e-05,0.0
MOM_LinRegSlope10_CSZ,6.178926503767326e-05,0.0,0.0,9.074540261634056e-06,2.569858028889386e-05,0.0
MOM_LinRegSlope10_SNZ,1.5277001803680092e-05,0.0,0.0,0.0,0.0,0.0
MOM_MACDHistNorm_SNZ,2.2607599817016306e-05,0.0,0.0,0.0,4.748253081387598e-05,0.0
MOM_MACDHistDiff_SNZ,2.5540953080121117e-05,0.0,0.0,0.0,0.0,0.0
MOM_DistHigh60_CSZ,5.4801141380601805e-05,0.0,0.0,0.0,4.405905310296187e-06,0.0
MOM_DistHigh60_SNZ,8.667951221171929e-06,0.0,0.0,0.0,5.4298523415516354e-05,0.0
MOM_DistKijun_SNZ,6.159892012869389e-05,0.0,0.0,0.0,1.277340618520804e-05,0.0
MOM_NewHighFlag3_CSZ,0.00024143237312005406,0.000288441833626922,0.0,0.0,0.0002846585728817703,0.0
MOM_NewHighFlag3_SNZ,8.699472062667419e-05,5.684606116086596e-06,0.0,0.0,4.750657039409974e-05,0.0
MOM_PricePos120_SNZ,0.0002477031285475106,0.0,0.0,0.0,0.0,0.0
MOM_IchimokuDist_SNZ,5.1590580660030914e-05,0.0,0.0,0.0,4.5766217643056696e-05,2.6406090639267424e-05
MOM_Return3d_CSZ,3.7808685841416606e-05,1.9119960560148035e-05,0.0,0.0,3.335588335372152e-05,0.0
MOM_Return3d_SNZ,1.589506102469996e-05,0.0,0.0,0.0,0.0,0.0
MOM_Return5d_CSZ,2.335054313125474e-05,0.0,0.0,0.0,2.772522734535572e-05,0.0
MOM_Return10d_CSZ,1.124575462693973e-05,0.0,0.0,6.901357546833981e-05,7.381496380302283e-06,0.0
MOM_Return10d_SNZ,1.4073305823199207e-05,0.0,0.0,0.0,9.550879804119022e-06,0.0
MOM_Return20d_CSZ,7.88688350812708e-05,3.4486322407931524e-05,0.0,9.0211595244908e-05,1.0046345984819502e-05,0.0
MOM_Return20d_SNZ,1.8367104575960212e-05,0.0,0.0,0.0,1.7217663239775557e-05,0.0
MOM_Return1dLag1_SNZ,6.141757317069764e-05,0.0,0.0,0.0,1.3657539450637958e-05,0.0
MOM_Return1dLag2_SNZ,0.0003422046586898898,0.0,0.0,0.0,0.0,0.0
MOM_RSI9_SNZ,3.594994275257531e-05,0.0,0.0,0.0,0.0,0.0
MOM_RSI9-14Diff_SNZ,1.2278257324653273e-05,0.0,0.0,0.0,0.0,0.0
MOM_BBPercentB_SNZ,0.0,0.0,0.0,0.0,0.0,0.0
MOM_BodyRatio_SNZ,1.1847256253871497e-05,0.0,0.0,0.0,0.0,0.0
MOM_UpperShadowRatio_SNZ,0.0,0.0,0.0,0.0,0.0,0.0
MOM_LowerShadowRatio_SNZ,2.083283918482778e-05,0.0,0.0,0.0,0.0,0.0
