,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5
MOM_MACDHistDiff_TSR_252D,1.9196739678820002e-05,0.00010137239076208094,5.3869578926439665e-06,0.00020403449589077798,3.200418633180313e-06,3.917237715163546e-05
MOM_DistHigh60_TSZ_20D,1.4191341406712554e-05,1.8816367319579508e-05,0.0,5.3176211963050045e-05,0.0,0.0
MOM_DistHigh60_TSR_252D,0.0,9.424738770395261e-05,1.5442824637075705e-05,1.4859659604982112e-05,6.574470761291486e-06,0.0001982156631137486
MOM_DistHigh250_TSZ_20D,0.0,6.629236206558295e-05,0.0,6.813165274422952e-05,0.0,0.0
MOM_DistKijun_TSZ_20D,2.3560512146990813e-06,4.9160159455140684e-05,0.0,1.3012517023678544e-05,0.0,1.1652629174671557e-05
MOM_DistKijun_TSR_252D,2.6685102735959917e-06,5.348587937847195e-05,1.269387299530643e-05,3.324889945877717e-05,0.0,0.0
MOM_NewHighFlag3_TSZ_20D,6.4027227219238905e-06,1.8926486856463766e-05,0.0,2.780822516637423e-05,4.325220694121491e-06,8.376583058578909e-06
MOM_NewHighFlag3_TSR_252D,1.0012937113391072e-05,0.00016626183683530256,3.0438319635170053e-05,0.00020437035364870423,3.823884047892789e-05,0.00012042721272895777
MOM_PricePos120_TSZ_20D,1.0114373065682916e-05,1.6807190279682497e-05,0.0,1.1874494168251307e-05,7.713365660643136e-06,6.362214730388353e-06
MOM_PricePos120_TSR_252D,0.0,3.121098828356908e-05,0.0,1.509558558321534e-05,2.598930259798024e-06,7.763424345481105e-06
MOM_IchimokuDist_TSZ_20D,0.0,2.181743791008075e-05,0.0,1.741862106128637e-05,0.0,8.163703125648135e-06
MOM_IchimokuDist_TSR_252D,5.8668233154942626e-05,5.819571668102513e-05,1.787311052240542e-05,3.9913878068778015e-05,5.764074820220389e-06,2.895667744434158e-05
MOM_LogReturn_TSR_252D,4.859192435057166e-05,0.00017098844462169106,3.374141701740276e-06,8.705697262916089e-05,1.5161579726828455e-05,4.60700861872169e-05
MOM_Return3d_TSZ_20D,0.0,0.00012995911621709584,0.0,8.641303583310249e-05,5.872755591635464e-05,1.593349768003152e-05
MOM_Return3d_TSR_252D,1.998683286752894e-05,8.669831497989715e-05,0.0,8.378886668956536e-05,7.451653608826435e-06,3.7494370979556696e-05
MOM_Return5d_TSZ_20D,2.0033719499862544e-05,5.628526267245894e-05,0.0,5.973977812145904e-05,4.219708852449601e-06,3.143113991288373e-05
MOM_Return5d_TSR_252D,4.260881315034632e-06,8.775525265817374e-05,0.0,3.743612943833125e-05,1.874781178092711e-06,1.4205929329462477e-05
