,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,average_importance
ATR_Squeeze,3.2439311477019794e-05,3.1504031413777025e-05,6.272845924023282e-05,6.0581430113826515e-05,8.263058264490656e-05,4.0564251272706574e-05,5.174134436041155e-05
HV_30,3.676334177353732e-05,3.745680278528033e-05,4.206682742790897e-05,3.1745401353676376e-05,2.7775419381509664e-05,0.00010324192401243019,4.650828612239047e-05
RS_25,0.0,0.0,0.0002748216134215952,0.0,0.0,0.0,4.580360223693254e-05
Large_Move_Count,5.3075660350942e-06,8.176264929937945e-05,5.99817560071646e-05,1.6047842608759016e-05,7.520936994879021e-05,1.5747687460673386e-05,4.234281189331014e-05
New_High_Flag_3,3.393235979515975e-05,6.158939239031083e-05,6.768718319782581e-05,4.632878074848037e-05,0.0,4.0936888390955175e-06,3.560523416181205e-05
Range_Ratio_Long,2.6677145901844557e-05,5.0707800766915586e-05,3.0146069785468137e-05,4.291535791300322e-05,2.8879741464129165e-05,2.2795793842890357e-05,3.3686984945708505e-05
vwap_dev,8.543920937114189e-06,2.5832763731157742e-05,3.06836710933224e-05,1.9116871468671028e-05,3.0041417790127888e-05,7.521882049339467e-05,3.157291091896466e-05
Return_10d,3.4179934488656696e-05,5.315327755386749e-05,1.9065279212614693e-05,3.283809064963076e-06,5.627264253719534e-05,1.186770619319079e-05,2.9637108175081347e-05
Dist_SMA75,7.360098332317155e-05,0.0,3.9650716229873914e-05,0.0,4.7737933475633306e-05,1.4679799593535805e-05,2.9278238770369094e-05
Log_Return,2.319049188601e-05,2.0713253979361644e-05,3.74585948915926e-05,3.5519836515302384e-05,3.935584983459266e-05,1.7363443729378368e-05,2.8933578472706276e-05
margin_buy_impact_sector_z,0.0,0.0,1.767790546805293e-05,2.6053709218774142e-05,7.247408762801953e-05,4.383138565019389e-05,2.6672847994173417e-05
amihud_illiq,5.607564956510995e-05,0.0,2.7615803024677338e-05,4.512551402167303e-05,1.0523688801787713e-05,2.0526689756230884e-05,2.6644557528246485e-05
Return_5d,2.4812674318924323e-05,2.657630541678827e-05,1.2356997163419512e-05,3.1156730472830774e-05,5.041191362398663e-05,6.702180315108582e-06,2.5336133551843012e-05
Volume_MA_25,1.9330353527556607e-05,2.2187800501279202e-05,2.199527817278342e-05,2.5575966753627094e-05,2.4665954288792795e-05,2.1392739480484612e-05,2.2524682120753954e-05
Volume_Log,5.837914499761876e-06,3.52773921663516e-05,2.25870343613977e-05,2.1382376400112728e-05,2.0291682732977208e-05,2.5481364501855703e-05,2.1809627443742803e-05
op_margin_sector_z,0.0,1.771446702196725e-05,0.0,2.4465213060263365e-05,4.4262844939489344e-05,4.4372815592673416e-05,2.1802556769065563e-05
ATR_Ratio_sector_z,2.12939059131272e-05,2.4005915876068204e-05,5.3794185370529514e-05,7.759910674003875e-06,0.0,2.2195516743071933e-05,2.1508239096133457e-05
margin_ratio_sector_z,5.43289756608482e-05,0.0,2.0578670406029005e-05,5.625817119142111e-06,1.72449157200337e-05,3.0156960756327404e-05,2.1322556610396737e-05
Return_1d_Lag1,1.3482878642715921e-05,1.0266797070230781e-05,3.6899641645236496e-05,9.800744339922351e-06,3.734098573956243e-05,1.5933994418253476e-05,2.0620840309320244e-05
Return_3d,2.0833429029072416e-05,5.914151021397928e-06,3.031600433118317e-05,2.868613995437886e-05,3.684032204227174e-05,0.0,2.0431674396384018e-05
Rel_Sector_Return_5d,2.8895277827378036e-06,3.7527190158049715e-05,1.3780486440013575e-05,2.6544205195407255e-05,1.606674574158749e-05,1.6323332427659767e-05,1.8855247957575935e-05
Return_Volatility,1.6680678870948036e-05,2.5801140801659373e-05,4.438482747083442e-05,1.205830248092614e-06,0.0,2.3835643801508654e-05,1.865135353217385e-05
momentum_12_1,2.0745473136914652e-05,2.3878771807602205e-05,4.379618208925862e-06,2.9010038003458246e-06,3.617755054502465e-05,9.639345961480535e-06,1.6286960576715625e-05
beta_proxy,0.0,4.190733738204226e-05,1.9121840579766456e-05,0.0,0.0,3.1000485061400586e-05,1.5338277170534884e-05
Efficiency_Ratio_10,7.65955498932263e-06,1.3212278162554056e-05,0.0,0.0,1.1468105875099668e-05,4.461853464241203e-05,1.2826412278231398e-05
earnings_yield_sector_z,1.2251023952630468e-05,0.0,2.7556790957185533e-05,1.5074609632396277e-05,2.065289077914198e-05,0.0,1.258921922022571e-05
BB_Percent_B,4.698543354637987e-05,1.0236411074030648e-06,0.0,0.0,1.3245338875156617e-05,7.790611980899711e-06,1.1507504251639879e-05
MACD_Hist_Norm,3.5325058575449244e-05,2.7855653644873806e-05,0.0,2.2971769480133615e-06,8.86665304026128e-07,2.4140169947960667e-06,1.1463095244526435e-05
sector33_code,7.90319906451046e-06,7.970499565782964e-06,1.0706936549408757e-05,6.258941361078992e-06,5.549079578071364e-06,2.9107466639795138e-05,1.1249353793107944e-05
RSI_9,2.7099275255707034e-05,5.10615661095449e-06,0.0,1.3392803111280535e-06,0.0,2.9775384848564524e-05,1.055334950439235e-05
Return_20d,6.79052273495639e-06,0.0,9.727359238533713e-06,3.8483825392312245e-06,2.6822573755242456e-05,1.4216591758512801e-05,1.0234238337746097e-05
Dist_Kijun,0.0,0.0,0.0,0.0,0.0,5.1981880392061285e-05,8.663646732010214e-06
sector_short_sell_ratio,8.37029056381044e-06,0.0,0.0,1.0154676151272931e-05,9.556108903092286e-06,1.9332829571534385e-05,7.90231753161834e-06
Dist_VWAP_Slope,1.1451843026000915e-05,8.786269751436808e-06,0.0,1.4516856016016717e-05,0.0,1.257207131067787e-05,7.887840017355385e-06
HV_Slope,8.800336356323064e-06,0.0,1.2670914943725845e-05,0.0,6.488629966137506e-06,1.4681600946574924e-05,7.10691370212689e-06
ret_intraday,0.0,0.0,7.407616958418248e-06,1.0749368972802205e-05,1.63154656574533e-05,7.840527688688757e-06,7.052163212893752e-06
Rel_Sector_Return_1d,2.2298142891869248e-05,0.0,1.0945985723981177e-05,0.0,0.0,8.895368243121033e-06,7.023249476495243e-06
Vol_Ratio_HV,1.36525863075516e-05,6.193757928802083e-06,2.956287876754527e-06,1.1334851522762863e-05,5.29225191028442e-06,0.0,6.571622591025915e-06
Dist_SMA5_25,0.0,0.0,0.0,3.895238761781843e-05,0.0,0.0,6.4920646029697386e-06
Downside_Run,0.0,9.530580887392832e-06,2.47928336304341e-06,6.953484038247648e-07,7.608508611423296e-07,2.1841435859975458e-05,5.8845832292298e-06
Market_Return,3.6865251405413827e-06,6.579178807308211e-06,8.172131689356738e-06,3.270193240572746e-06,7.742317372357471e-06,3.866113911614725e-06,5.552743360291878e-06
market_vol_change,4.730224176185588e-06,4.917876790177441e-06,4.039761176808702e-06,1.1237076849853933e-05,3.1312282058787936e-06,4.822546315205151e-06,5.4797855856849356e-06
RCI_52,0.0,0.0,2.9507968338394086e-05,0.0,0.0,0.0,4.917994723065681e-06
MACD_Hist_Diff,1.7366898016487567e-06,0.0,2.411086815919932e-05,0.0,0.0,0.0,4.3079263268080125e-06
Close_Open_Ratio,0.0,0.0,1.6876057984107725e-05,0.0,0.0,8.645270830558502e-06,4.253554802444371e-06
progress_rate_sector_z,0.0,0.0,0.0,9.198222608342784e-06,0.0,1.50447255103324e-05,4.040491353112531e-06
sales_growth_yoy,0.0,4.2604296737300995e-06,5.847430224964493e-06,5.6718780437629945e-06,8.438496560529609e-06,0.0,4.036372417164533e-06
BB_Bandwidth,7.86023712997523e-07,0.0,2.1854463377230312e-05,0.0,4.804057255087171e-07,0.0,3.853482135956092e-06
BB_Bandwidth_25,6.078732708043688e-06,0.0,1.4174525774197419e-05,1.729115648117749e-06,0.0,0.0,3.6637290217264763e-06
Ulcer_Index_14,2.7567487653854063e-06,3.1222940652464287e-06,0.0,0.0,0.0,1.4871894908410868e-05,3.458489623173784e-06
volatility_60_sector_z,8.30688049158017e-06,0.0,6.484266621102288e-06,0.0,5.619480271508734e-06,0.0,3.4017712306985326e-06
BB_Upper_Ratio,0.0,8.774077309789266e-06,7.894007236139957e-06,0.0,0.0,0.0,2.7780140909882037e-06
sales_growth_yoy_sector_z,0.0,0.0,0.0,0.0,1.1579422946692355e-05,0.0,1.9299038244487257e-06
Is_Month_End,0.0,0.0,0.0,0.0,0.0,1.109644689579409e-05,1.8494078159656816e-06
Gap_Rate,1.106116846325604e-05,0.0,0.0,0.0,0.0,0.0,1.84352807720934e-06
ma_dev_25_sector_z,0.0,0.0,0.0,0.0,0.0,1.0352718935963632e-05,1.7254531559939386e-06
Realized_Skew_20,0.0,0.0,0.0,0.0,0.0,9.883422905772208e-06,1.6472371509620348e-06
RCI_26_Diff,0.0,0.0,0.0,0.0,0.0,8.118861120543965e-06,1.3531435200906608e-06
operating_profit_growth_yoy_sector_z,0.0,0.0,6.944844058318506e-06,0.0,0.0,0.0,1.157474009719751e-06
win_rate_10d,0.0,0.0,0.0,0.0,0.0,6.6306522872006334e-06,1.105108714533439e-06
RCI_9_Diff,0.0,0.0,0.0,0.0,6.347758244698061e-06,0.0,1.0579597074496768e-06
RSI_14_sector_z,0.0,0.0,0.0,6.0978430877427585e-06,0.0,0.0,1.0163071812904597e-06
Max_Gain_5,0.0,0.0,5.685059201153086e-06,0.0,0.0,0.0,9.475098668588476e-07
roa_sector_z,0.0,0.0,0.0,1.2397562686336776e-06,0.0,3.852818780919941e-06,8.487625082589365e-07
price_pos_120,0.0,0.0,0.0,4.080737509907319e-06,0.0,0.0,6.801229183178865e-07
Dist_VWAP_5,0.0,0.0,0.0,3.450410961253114e-06,0.0,0.0,5.750684935421856e-07
Sector_Rel,0.0,0.0,0.0,0.0,3.331182876405233e-06,0.0,5.551971460675388e-07
sector_return,0.0,0.0,2.552877580321576e-06,0.0,0.0,0.0,4.254795967202627e-07
Dist_SMA25_75,2.145593523111253e-06,0.0,0.0,0.0,0.0,0.0,3.5759892051854216e-07
ma_dev_200_sector_z,0.0,0.0,0.0,0.0,0.0,1.7862684492215734e-06,2.9771140820359555e-07
is_missing_eps,0.0,0.0,0.0,1.4318709206012866e-06,0.0,0.0,2.3864515343354776e-07
accruals_sector_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
selling_volume_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_52w_dist_sector_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LinReg_Slope_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eps_growth_yoy_sector_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roe_sector_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Return_20d_sector_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Return_6m_sector_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Return_12m_sector_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downside_dev_60_sector_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ma_dev_75_sector_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sector_rel_strength_60,0.0,0.0,0.0,0.0,0.0,0.0,0.0
revision_rate_sector_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADX_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Return_1d_Lag2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dist_High_60,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lower_Shadow_MA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCI_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATR_Squeeze_bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCI_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Close_Position,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volume_Change,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volume_Slope_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MFI_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bullish_Ratio_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Streak,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vol_Ratio_5d,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vol_Spike_Count_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vol_Up_Down_Ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intraday_Strength,0.0,0.0,0.0,0.0,0.0,0.0,0.0
margin_ratio_delta_4w,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lower_Shadow_Ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Upper_Shadow_Ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Body_Ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSI_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSI_9_14_Diff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DayOfWeek,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sin_DayOfWeek,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cos_DayOfWeek,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is_Gotobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Return_Kurtosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Return_Skewness_Diff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ichimoku_dist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
equity_ratio_sector_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
